date,ticker,rank,avg_dollar_volume_20d,alpaca_tradable,price_d_minus_1
2025-03-24,SPY,1,41480812215.854004,True,563.98
2025-03-24,NVDA,2,37642560912.0305,True,117.7
2025-03-24,TSLA,3,30369268000.185997,True,248.71
2025-03-24,QQQ,4,23816474270.4645,True,480.84
2025-03-24,AAPL,5,12492208450.408499,True,218.27
2025-03-24,META,6,10908423917.989502,True,596.25
2025-03-24,PLTR,7,9743943564.376501,True,90.96
2025-03-24,MSFT,8,9708925397.744,True,391.26
2025-03-24,AMZN,9,9575764361.829502,True,196.21
2025-03-24,IWM,10,7204578363.444499,True,203.79
2025-03-24,AVGO,11,6960058249.65,True,191.66
2025-03-24,TQQQ,12,6801490065.376501,True,31.09
2025-03-24,GOOGL,13,6013966396.253,True,163.99
2025-03-24,MSTR,14,5983735323.150001,True,304
2025-03-24,IVV,15,5387654023.081,True,566.58
2025-03-24,NFLX,16,5187399321.413,True,96.029
2025-03-24,VOO,17,4051327740.1304994,True,520.26
2025-03-24,BABA,18,4020799433.3434997,True,135.14
2025-03-24,GOOG,19,3840020864.049,True,166.25
2025-03-24,HYG,20,3628433749.972,True,79.22
2025-03-24,APP,21,3539078732.557,True,314.03
2025-03-24,LQD,22,3528014195.9690003,True,108.76
2025-03-24,AMD,23,3524096676.0785003,True,106.44
2025-03-24,TLT,24,3461315573.3120003,True,90.7
2025-03-24,SMCI,25,3452014406.1870003,True,42.15
2025-03-24,LLY,26,3259470401.689,True,837.57
2025-03-24,SQQQ,27,3166356233.064,True,182
2025-03-24,TSM,28,3136934136.743,True,176.73
2025-03-24,JPM,29,2958970944.264,True,241.63
2025-03-24,XLF,30,2903263481.216,True,49.46
2025-03-24,V,31,2817280084.51,True,335.66
2025-03-24,INTC,32,2630335865.7954993,True,24.26
2025-03-24,COST,33,2586803981.5204997,True,909.26
2025-03-24,IBIT,34,2566571109.9445,True,47.7
2025-03-24,UNH,35,2520799520.0354996,True,516.85
2025-03-24,CRM,36,2417658302.3479996,True,280.62
2025-03-24,GLD,37,2382025867.8399997,True,278.49
2025-03-24,SOXL,38,2354132416.542,True,19.28
2025-03-24,WMT,39,2328007404.737,True,85.98
2025-03-24,HOOD,40,2191715886.3785,True,44.36
2025-03-24,MU,41,2148050209.544,True,94.72
2025-03-24,FXI,42,2099595548.4165,True,36.56
2025-03-24,XOM,43,2067306744.4190001,True,115.5
2025-03-24,CRWD,44,2046737093.711,True,362.24
2025-03-24,COIN,45,2039086156.2450001,True,189.86
2025-03-24,BAC,46,2008646351.159,True,42.47
2025-03-24,NOW,47,1848972846.157,True,165.55
2025-03-24,DASH,48,1843676220.991,True,190.62
2025-03-24,ORCL,49,1839203219.4054992,True,152.23
2025-03-24,GS,50,1829389236.2814999,True,565.14
2025-03-24,ADBE,51,1755199421.008,True,387.26
2025-03-24,MRVL,52,1725169285.4340005,True,70.39
2025-03-24,TSLL,53,1710843148.5175,True,9.04
2025-03-24,SMH,54,1699431097.0575001,True,224.77
2025-03-24,MA,55,1658728586.4064999,True,535.69
2025-03-24,MRK,56,1643817006.3910003,True,93.11
2025-03-24,SPOT,57,1638891681.6379998,True,599.94
2025-03-24,RSP,58,1629159635.6050003,True,173.84
2025-03-24,HD,59,1628353662.8685002,True,351.15
2025-03-24,JNJ,60,1593574195.3024998,True,163.63
2025-03-24,XLE,61,1577279522.4899998,True,46.26
2025-03-24,GEV,62,1542358930.3744998,True,333.87
2025-03-24,KO,63,1501707404.2984998,True,68.67
2025-03-24,PG,64,1492393984.0344996,True,166.69
2025-03-24,PFE,65,1491261123.1155,True,26.28
2025-03-24,BKNG,66,1488555408.1324997,True,184.6904
2025-03-24,ABBV,67,1463905976.659,True,210.01
2025-03-24,CVX,68,1460017079.877,True,164.75
2025-03-24,XLI,69,1459330800.5259998,True,132.25
2025-03-24,BA,70,1457268612.2415,True,178.11
2025-03-24,UBER,71,1386830159.6625,True,75.84
2025-03-24,CSCO,72,1380509265.7944999,True,60.3
2025-03-24,XLP,73,1364681425.2269998,True,79.33
2025-03-24,ACN,74,1362207103.0495,True,305.32
2025-03-24,ISRG,75,1358446259.807,True,492.49
2025-03-24,WFC,76,1355481222.6035001,True,72.52
2025-03-24,NVDL,77,1329708124.9655004,True,44.12
